Dénomination du lieu;Catégorie;Province;Adresse ;Code postal;Ville;Site Web;Organisateur/exploitant;Géolocalisation
Acinapolis;cinéma;Namur;Rue de la Gare fleurie 16;5100;Jambes;https://www.acinapolis.be/namur-jambes/;Pathé Belgique;50.453972317567775, 4.874331013480538
Les ciné-clubs du CCLJ;ciné-club;Bruxelles-Capitale;Rue de l’Hôtel des Monnaies 52;1060;Saint-Gilles;https://www.cclj.be/;Centre Communautaire Laïc Juif - CCLJ;50.83143217383233, 4.349032608088275
Archipel 19;centre culturel;Bruxelles-Capitale;Place de l'Eglise 15;1082;Berchem-Sainte-Agathe;https://archipel19.be/;Centre Culturel Archipel 19;50.860949410346116, 4.291936452639155
Al Pirate Movie Club;ciné-club;Liège;Rue Pied-du-Pont-des-Arches 3;4000;Liège;https://www.facebook.com/piratemovieclub/;Al Pirate Movie Club;50.64447334497798, 5.577931810845199
CineXtra Marche;cinéma;Luxembourg;Rue Notre-Dame de Grâce 4;6900;Marche-en-Famenne;https://www.cinextra.be/marche;CineXtra;50.22993984819963, 5.3423311243209195
Escale du Nord;centre culturel;Bruxelles-Capitale;Rue du Chapelain 1;1070;Anderlecht;https://escaledunord.brussels/;Escale du Nord;50.83710669078215, 4.306953098284991
Centre culturel local Le Sablon;centre culturel;Hainaut;Place de Carnières 36;7141;Carnières;https://www.facebook.com/centreculturel.lesablon;Centre culturel local Le Sablon;50.44291748851773, 4.25440972832905
Espace Duesberg;centre culturel;Liège;Boulevard des Gérardchamps 7c;4800;Verviers;http://www.ccverviers.be/;Centre culturel de Verviers;50.59320863576344, 5.847604749309305
Ciné-Récré;ciné-club;Liège;Rue Albert 1er 18;4470;Saint-Georges-sur-Meuse;https://www.saintgeorgesculture.be/index.php;Centre culturel de Saint-Georges-sur-Meuse;50.60113830639181, 5.35590134232213
Centre Culturel d’Havelange;centre culturel;Namur;Rue de Hiétine 2;5370;Havelange;https://www.cchavelange.be/;Centre Culturel d’Havelange;50.387545851312694, 5.2426556134779725
Le Caméo;cinéma;Namur;Rue des Carmes 49;5000;Namur;https://www.grignoux.be/fr/;Les Grignoux;50.46690999203061, 4.863835728824586
Centre Culturel de Dinant;centre culturel;Namur;Rue Grande 37;5500;Dinant;https://www.ccdinant.be/cinema;Centre Culturel de Dinant;50.25704794353117, 4.915451989234327
Ciné-club allemand du CEA;ciné-club;Liège;Place Cockerill 3-5;4000;Liège;https://www.cea.uliege.be/cms/c_3978405/de/centre-d-etudes-allemandes;Université de Liège et Goethe Institut;50.64099321269116, 5.574891938787892
Cinédames;ciné-club;Bruxelles-Capitale;Rue Dupont 67;1030;Schaerbeek;https://www.liberationfilms.be/animations-cine-clubs.php#animation2;Libérations Films;50.85890664039165, 4.36621622434939
UGC De Brouckère;cinéma;Bruxelles-Capitale;Place de Brouckère 38;1000;Bruxelles;https://www.ugc.be/cinema.html?id=2;UGC De Brouckère;50.85183363258667, 4.352506680700708
Centre Culturel Jacques Franck;centre culturel;Bruxelles-Capitale;Chaussée de Waterloo 94;1060;Saint-Gilles;https://www.lejacquesfranck.be/;Centre Culturel Jacques Franck;50.82939234724189, 4.344623402650424
Centre culturel de Sprimont;centre culturel;Liège;Rue du Centre 81;4140;Sprimont;https://foyer-culturel-sprimont.be/wordpress/;Centre culturel de Sprimont;50.50111255288425, 5.663977922100286
Flagey;cinéma;Bruxelles-Capitale;Place Sainte-Croix;1050;Ixelles;https://www.flagey.be/fr/program/2-cinema;Flagey;50.826924338045934, 4.372785640479706
Le Bunker Ciné Théatre;ciné-club;Bruxelles-Capitale;Rue des Plantes 66 A;1210;Saint-Josse-ten-Noode;http://bunker-cine-theatre.wifeo.com/;Le Bunker Ciné Théatre;50.85782309149698, 4.362481895271069
Espace Magh;centre culturel;Bruxelles-Capitale;Rue du Poinçon 17;1000;Bruxelles;https://www.espacemagh.be/;Espace Magh;50.84354756836008, 4.348636939172749
Ciné-Club Educatif et Culturel - Imagix;ciné-club;Hainaut;Boulevard André Delvaux 1;7000;Mons;https://ccec.be/;Ciné-Club Educatif et Culturel (CCEC);50.46185379861335, 3.935533336643835
Ciné-Club New Cubitus;ciné-club;Bruxelles-Capitale;Avenue du Capricorne 1a;1200;Woluwe-Saint-Lambert;https://www.lespleiades.news/;"Centre ""Les pléiades""";50.85330087766118, 4.418502987698755
Centre Culturel des Roches;centre culturel;Namur;Rue de Behogne 5;5580;Rochefort;https://www.ccrochefort.be/;Centre Culturel des Roches de Rochefort;50.1600801149582, 5.2238750160004574
Ciné Chaplin;cinéma;Namur;Rue de l'Eglise 20;5670;Nismes;https://www.cine-chaplin.be/;asbl Grand Angle;50.07621607354492, 4.548158213465989
Le 38 Centre Culturel de Genappe;centre culturel;Brabant wallon;Rue de Bruxelles 38;1470;Genappe;https://www.ccgenappe.be/;Centre Culturel de Genappe;50.612830776324294, 4.45131698478446
Ciné-club Bruegel;ciné-club;Bruxelles-Capitale;Rue des Renards 1F;1000;Bruxelles;https://ccbruegel.be/;Centre culturel Bruegel;50.836786081384496, 4.3472916820187635
Ciné-débat de Maison de la Laïcïté Condorcet;ciné-club;Brabant wallon;Avenue du Centenaire 20;1320;Beauvechain;https://www.maison-condorcet.be/;Maison de la Laïcïté Condorcet;50.7777428133878, 4.715595412697561
Les ciné-débats CAL Charleroi;ciné-club;Hainaut;Rue de France 31;6000;Charleroi;https://cal-charleroi.be/cine-debats/;Centre d'Action Laïque Charleroi;50.4111134356498, 4.441804842449326
Centre culturel de Rebecq;centre culturel;Brabant wallon;Chemin du Croly 11;1430;Quenast;https://www.rebecqculture.be/;Centre culturel de Rebecq;50.67124256545462, 4.156152783857561
Centre culturel de Farciennes;centre culturel;Hainaut;Grand-Place 59;6240;Farciennes;https://www.centreculturelfarciennes.be/;Centre culturel de Farciennes;50.42775875007007, 4.553578469438692
Les projections du Columban;ciné-club;Brabant wallon;Chemin de Vieusart 162;1300;Wavre;https://www.columban.be/;Espace de Cultures Columban;50.69394581283538, 4.626545395506699
Ciné Club Studio 5;ciné-club;Namur;Quai 22 - Rue du séminaire 22;5000;Namur;https://cineclub-studio5.be/;Affipages asbl;50.46341380814841, 4.858586294352438
Gare aux enfants;ciné-club;Bruxelles-Capitale;Rue du Champ de l’Eglise 2;1020;Laeken;https://loupioteasbl.wordpress.com/le-cine-en-famille-de-laeken/;Loupiote asbl;50.87780835572822, 4.3548280531854235
Cinéma Cameo Tamines;cinéma;Namur;Rue Notre Dame 27;5060;Tamines;https://cinecameo.be/;Dreamline;50.44193720690823, 4.608186310416598
Centre Culturel de Welkenraedt;centre culturel;Liège;Rue Grétry 10;4840;Welkenraedt;https://www.ccwelkenraedt.be/;Centre Culturel de Welkenraedt;50.663991557472215, 5.969082596836988
CID;ciné-club;Hainaut;Rue Sainte Louise 82;7301;Hornu;https://www.cid-grand-hornu.be/;Centre d'Innovation et de Design;50.43508238853413, 3.8375869712851647
Ages et Images;ciné-club;Bruxelles-Capitale;Rue Josaphat 253;1030;Schaerbeek;https://www.1030.be/fr/agenda-MdF;Maison des Femmes;50.863087922872126, 4.376196882019961
CineXtra Bastogne;cinéma;Luxembourg;Centre commercial/Porte de Trève;6600;Bastogne;https://www.facebook.com/cineXtra.Bastogne/;CineXtra;50.00557232182429, 5.724624598119729
Bozar Cinéma;centre culturel;Bruxelles-Capitale;Rue Ravenstein 23;1000;Bruxelles;https://www.bozar.be/fr/calendar?date=17-05-2022&section=546;Palais des Beaux-Arts;50.84408839872721, 4.3595888815196595
Cinéphage;ciné-club;Bruxelles-Capitale;Campus du Solbosch;1050;Ixelles;https://www.facebook.com/cinephageulb/?ref=embed_page;ULB;50.812440785245386, 4.382125130203633
Les ciné-débats Maison de la Laïcité de Fleurus;ciné-club;Hainaut;Rue Jh. Lefebvre 74;6220;Fleurus;https://cal-charleroi.be/cine-debats/;Centre d'Action Laïque Charleroi;50.48065128720449, 4.549733654099352
Sibret Ciné;ciné-club;Luxembourg;Rue du Centre 5;6640;Vaux-sur-Sûre;https://www.cercleculturelsibret.be/;Cercle culturel Sibret;49.97138918941785, 5.635399998261543
Cinéma Vendôme;cinéma;Bruxelles-Capitale;Chaussée de Wavre 18;1050;Ixelles;http://www.cinema-vendome.be/;Art& Cinéma asbl;50.837467685511264, 4.362908694339382
Espace Baudouin IV;centre culturel;Hainaut;Rue de la station 70;7090;Braine-le-Comte;http://ccblc.be/;Centre culturel de Braine-le-Comte;50.60832936271472, 4.137655113619511
Pathé Verviers;cinéma;Liège;Boulevard des Gérardchamps 1;4800;Verviers;https://www.pathe.be;Pathé Verviers;50.59331053016581, 5.847833211634727
Ciné-Club de Rixensart;ciné-club;Brabant wallon;Place communale 38;1332;Genval;https://cineclubrixensart.wordpress.com/;Cine-Club de Rixensart asbl;50.71683174669308, 4.49808571349075
Le Botanique;centre culturel;Bruxelles-Capitale;Rue Royale 236;1210;Saint-Josse-ten-Noode;https://botanique.be;Le Botanique;50.85472780314695, 4.366168554829551
MovieMills;cinéma;Liège;Avenue de la Libération 1;4960;Malmedy;https://moviemills.be/;MovieMills;50.43184436957176, 6.028012682792575
Les Variétés Waremme;cinéma;Liège;Avenue Edmond Leburton 39;4300;Waremme;https://www.lesvarietes.be/;Cinéma Les Variétés;50.69858500127001, 5.259018326982348
CinéClub Louvain-la-Neuve;ciné-club;Brabant wallon;Cinescope - Grand Place 55;1348;Louvain-la-Neuve;https://www.facebook.com/cineclublouvainlaneuve/;UCL Culture IAD COMU Centre culturel d'Ottignies-Louvain-la-Neuve Cinéscope et Pôle Louvain;50.66908395263599, 4.611427396552592
UGC Toison d'Or;cinéma;Bruxelles-Capitale;Avenue de la Toison d'Or 8;1050;Ixelles;https://www.ugc.be/cinema.html?id=1;UGC Toison d'Or;50.83780775686265, 4.361118769196292
Cinéma Le Stockel;cinéma;Bruxelles-Capitale;Avenue de Hinnisdael 17;1150;Woluwe-Saint-Pierre;http://lightsinthecity.be/stockel/;Lights in the city;50.8410528636608, 4.465601226137649
Centre Culturel de Jette;centre culturel;Bruxelles-Capitale;Boulevard de Smet de Naeyer 145;1090;Jette;https://www.ccjette.be/;Centre Culturel de Jette;50.874784443181674, 4.3282953210759505
Espace culturel Victor Jara;centre culturel;Hainaut;Place Van Zeeland 31;7060;Soignies;http://www.centre-culturel-soignies.be/;Centre culturel de Soignies;50.57863167476828, 4.069204113485361
Ciné Nos loisirs;cinéma;Luxembourg;Rue Léon Colleaux 34;6762;Saint-Mard;https://www.cinepatria.be/ws/les-salles/nos-loisirs.html;Ciné Patria;49.55457867419707, 5.533293483132181
Centre culturel de Floreffe;centre culturel;Namur;Rue Joseph Piret 7;5150;Floreffe;https://www.centreculturelfloreffe.be/;Centre culturel de Floreffe;50.43343916249665, 4.760546562861522
Les Midis du Cinéma;ciné-club;Bruxelles-Capitale;Rue de la Régence 3;1000;Bruxelles;https://www.fine-arts-museum.be;Les Midis du Cinéma et les Musées Royaux des Beaux-Arts de Belgique;50.841671210179385, 4.358198884424393
Le Churchill;cinéma;Liège;Rue du Mouton Blanc 20;4000;Liège;https://www.grignoux.be/fr/;Les Grignoux;50.64129645458255, 5.570331555816018
Les Jeudis du Cinéma au Vendôme;ciné-club;Bruxelles-Capitale;Chaussée de Wavre 18;1050;Ixelles;https://jeudisducinema.be;Lire et Ecrire Bruxelles;50.837467685511264, 4.362908694339382
Plaza Art;cinéma;Hainaut;Rue de Nimy 12;7000;Mons;https://plaza-mons.be/;Centre Éducatif et Culturel Cinématographique Montois asbl;50.4554827859507, 3.9534402134944355
Centre culturel de Mouscron;centre culturel;Hainaut;Place Charles de Gaulle 10;7700;Mouscron;https://www.centrecultureldemouscron.be/;Centre culturel de Mouscron;50.745294054912215, 3.2100253994867707
Ciné-club d'Anderlecht;ciné-club;Bruxelles-Capitale;Rue d'Aumale 2;1070;Anderlecht;https://anderlecht.be/;Blabla;50.83695812980687, 4.307187155029883
Les ciné-débats Maison de la Laïcité de Fontaine-L’Évêque;ciné-club;Hainaut;Place Degauque 1;6142;Fontaine-l'Évêque;https://cal-charleroi.be/cine-debats/;Centre d'Action Laïque Charleroi;50.39765471949221, 4.330638454097105
Atelier 210;centre culturel;Bruxelles-Capitale;Chaussée Saint-Pierre 210;1040;Etterbeek;https://atelier210.be/;Atelier 210 asbl;50.83724298474317, 4.39153418201879
Ciné-Club Travers Emotion au 71;ciné-club;Brabant wallon;Rue Alphonse Robert 71;1315;Incourt;https://www.travers.be/;Travers Emition;50.68032673087777, 4.760917568517195
Cinésoupe;ciné-club;Namur;Rue de l'Aubépine 3;5570;Beauraing;https://www.beauraing-culturel.be/;Centee culturel de Beauraing;50.109163766267564, 4.96002826849144
Les ciné-débats Maison de la Laïcité de Chimay;ciné-club;Hainaut;Rue de la Soque 12;6460;Chimay;https://cal-charleroi.be/cine-debats/;Centre d'Action Laïque Charleroi;50.04734389434014, 4.315477483829398
Kinoféroce Aquilone;ciné-club;Liège;Boulevard Saucy 25;4020;Liège;https://aquilone.be/kineferoce-cinema/;Kinoféroce;50.64153935782635, 5.58067275502101
Muséum des Sciences Naturelles;ciné-club;Bruxelles-Capitale;Rue Vautier 29;1000;Bruxelles;https://www.naturalsciences.be/fr/museum/home;Institut royal des Sciences naturelles de Belgique;50.83736710584463, 4.376510400839111
MC Cité Modèle;centre culturel;Bruxelles-Capitale;Allée du Rubis Annexe bloc 3;1020;Laeken;http://www.maisondelacreation.org/;Maison de la Création;50.89511168013876, 4.32400966171192
Cinéma Jean Novelty;ciné-club;Hainaut;Rue de Tournai 59;7900;Leuze-en-Hainaut;https://www.facebook.com/CinemaJeanNovelty/;Centre Culturel de Leuze-en-Hainaut;50.599755828929375, 3.6251055827990952
Ciné-club de L’ESA ST-Luc;ciné-club;Liège;Rue Mathieu Polain 4;4020;Liège;https://lanvert.be/rendez-vous/cine-club-de-lesa-st-luc-liege/;L'An vert;50.64412737960548, 5.5819181644228735
Plaza Hotton;cinéma;Luxembourg;Rue Simon 14;6990;Hotton;https://www.plazahotton.be/;Plaza Hotton;50.26644521649093, 5.448005509013278
Cinéma Aventure;cinéma;Bruxelles-Capitale;Rue des Fripers 15 - Galerie du centre 57;1000;Bruxelles;https://cinema-aventure.be/;Arbemax sprl;50.84870988747012, 4.35220273100096
Ciné Canapé;ciné-club;Bruxelles-Capitale;Rue de Locht 91-93;1030;Schaerbeek;https://culture1030.be/cine-canape/;Centre Culturel de Schaerbeek;50.863774431456335, 4.371867708537711
La Vénerie Espace Delvaux;centre culturel;Bruxelles-Capitale;Rue Gratès 3;1170;Watermael-Boitsfort;http://www.lavenerie.be/;La Vénerie Centre culturel de Watermael-Boitsfort;50.80904668836968, 4.402681047599719
Centre culturel de Seraing;centre culturel;Liège;Rue Renaud Strivay 44;4100;Seraing;https://www.centrecultureldeseraing.be/;Centre culturel de Seraing;50.6047669012936, 5.516558582799279
Bouillon Ciné;cinéma;Luxembourg;Rue du Nord 1;6830;Bouillon;https://www.bouilloncine.be/;Bouillon Ciné;49.79525395513023, 5.068010692018072
Centre Culturel Wolubilis;centre culturel;Bruxelles-Capitale;Cours Paul-Henri Spaak 1;1200;Woluwe-Saint-Lambert;https://www.wolubilis.be/;Centre Culturel Wolubilis;50.848138582989144, 4.437852946614813
Le Senghor;centre culturel;Bruxelles-Capitale;Chaussée de Wavre 366;1040;Etterbeek;https://www.senghor.be/subject/cinema/;Le Senghor - Centre Culturel d'Etterbeek;50.83661761342231, 4.380420895763474
Centre Culturel de Colfontaine;centre culturel;Hainaut;Place du Peuple 3;7340;Colfontaine;https://cccolfontaine.com/;Centre Culturel de Colfontaine;50.40834662434463, 3.862717852672355
Centre culturel d'Andenne;centre culturel;Namur;Rue de la Papeterie 2A;5300;Andenne;https://www.centreculturelandenne.be/;Centre culturel d'Andenne;50.492147670937044, 5.093450610831683
Centre culturel de Durbuy;centre culturel;Luxembourg;Parc Juliénas 2;6940;Barvaux;https://ccdurbuy.be/;Centre culturel de Durbuy;50.352437312812576, 5.49276443212969
Maison de l'Amérique Latine;ciné-club;Bruxelles-Capitale;Rue du Collège 27;1050;Ixelles;https://www.facebook.com/maison.delameriquelatine/;Maison de l'Amérique Latine Seul asbl;50.832341573419974, 4.3692964662697324
Imagix Kihuy;cinéma;Liège;Avenue Delchambre 8;4500;Huy;https://tickets.imagix.be/schedule/coming_soon;Kihuy;50.5229725587067, 5.241045840467891
Cinéma Sauvenière;cinéma;Liège;Place Xavier Neujean 14;4000;Liège;https://www.grignoux.be/fr/;Les Grignoux;50.64366061503523, 5.568365502322316
Centre Culturel d'Ans;centre culturel;Liège;Place des anciens combattants 1;4432;Ans;https://www.centreculturelans.be/;Centre Culturel d'Ans;50.67466326017089, 5.512160055950932
Ciné Couvin;cinéma;Namur;Place Général Piron 6;5660;Couvin;https://cinecouvin.be/;Le ciné-écran;50.053235865345194, 4.494222269285626
La Tricoterie;centre culturel;Bruxelles-Capitale;Rue Théodore Verhaegen 158;1060;Saint-Gilles;https://www.tricoterie.be/fr/;La Tricoterie - Fabrique de liens;50.83045038049463, 4.336759482808072
Cin’Agro;ciné-club;Namur;Passage des Déportés 2;5030;Gembloux;https://agrogembloux.be/;Gembloux Agro-Bio Tech Université de Liège;50.561767819630546, 4.696674113428759
Ciné 4/4 L'entrela;ciné-club;Bruxelles-Capitale;Rue de Paris 43;1140;Evere;https://www.lentrela.be/;L'Entrela Centre culturel d'Evere;50.8768652763995, 4.401934704882066
Centre culturel de Tubize;centre culturel;Brabant wallon;Boulevard Georges Deryck 124;1480;Tubize;https://tubizeculture.be/notre-programmation/;Centre culturel de Tubize;50.6910585367978, 4.201230669310318
W:Halll;centre culturel;Bruxelles-Capitale;Avenue Charles Thielemans 95;1150;Woluwe-Saint-Pierre;https://www.whalll.be/activite/cinecran/;Whall Centre Culturel de Woluwe-Saint-Pierre;50.83651140737406, 4.427400317652837
Ciné-club de l'INSAS;ciné-club;Bruxelles-Capitale;Rue Thérésienne 8;1000;Bruxelles;https://sites.google.com/insas.be/cineclub/;INSAS;50.8400375822719, 4.361369242461009
Les Soirées du Film Nature;ciné-club;Liège;Place de l'Hôtel de Ville;4650;Herve;https://paysdeherve.natagora.be/actualites;Natagora;50.64004929101001, 5.7941544686074336
Les Samedis du Ciné au Vendôme;ciné-club;Bruxelles-Capitale;Chaussée de Wavre 18;1050;Ixelles;http://www.samedisducine.be/;Clap Education ASBL;50.837467685511264, 4.362908694339382
Ciné-Club du Moulin Klepper;ciné-club;Luxembourg;Rue du Moulin 12;6840;Neufchâteau;https://www.lagenda.plus/agenda/?cat=71&commune=neufchateau&loc_rayon=;Bibliothèque communale de Neufchâteau;49.838535691468856, 5.43188068476353
SPOTT;centre culturel;Brabant wallon;Avenue des Combattants 41;1340;Ottignies;https://spott.be/;SPOTT;50.66545468257542, 4.566555082010992
Ciné-débat de la Maison de la Laïcité;ciné-club;Brabant wallon;Rue des Deux Ponts 19;1340;Ottignies;https://www.mlhypathia.be/;Maison de la Laïcité Ottignies-LLN;50.668982970639895, 4.572204668516719
Centre culturel de Perwez - PIFF;centre culturel;Brabant wallon;Grand-Place 32;1360;Perwez;https://www.foyerperwez.be/;Centre culturel de Perwez - Le Foyer;50.623623234454165, 4.814822668514624
Aula Magna;ciné-club;Brabant wallon;Place Raymond Lemaire 1;1348;Louvain-la-Neuve;https://www.agendabw.be/fr/lieux/12865_aula-magna.html;Aula Magna;50.668757071133406, 4.610065582011099
Ciné Caquettes;ciné-club;Namur;Rue Joseph Lonnoy 14;5170;Profondeville;https://www.facebook.com/Cinecaquettes/?paipv=0&eav=AfbdBg6ZrY0aXNI7cxGCYXd7BTGvCr_95aHqwrr5EcXiuNTwCwP2MWr5ygtk43_G63I&_rdr;Ciné Caquettes;50.37732731354016, 4.873959581997928
Le Ciné en plein air;ciné-club;Hainaut;Rue Saint-Paul 14;7130;Binche;https://www.binche.be/fr/que-faire/evenements/le-cine-en-plein-air;Ville de Binche;50.410417930073564, 4.166002597340191
Kinoféroce  Kinograph;ciné-club;Bruxelles-Capitale;Place Sainte-Croix;1050;Ixelles;https://kinograph.brussels/;Kinoféroce;50.82690559359882, 4.372678470560333
Le ciné en famille à Verviers;ciné-club;Liège;Boulevard des Gérardchamps 7C;4800;Verviers;https://loupioteasbl.wordpress.com/cine-club-verviers/;Loupiote asbl;50.59331053016581, 5.847833211634727
Ciné jeune public;ciné-club;Bruxelles-Capitale;Chaussée de Wavre 366;1040;Etterbeek;https://loupioteasbl.wordpress.com/cine-clubs/cine-jeune-public-du-senghor/;Loupiote asbl;50.836764486410466, 4.38036175318357
