Code	Localite
9680	Maarke-Kerkem
9700	Edelare
9700	Heurne
9700	Melden
9700	Welden
9750	Huise
9790	Moregem
9800	Meigem
9831	Deurle
9850	Merendree
9850	Poesele
9881	Bellem
9890	Dikkelvenne
9890	Vurste
9910	Ursel
9940	Ertvelde
9940	Evergem
9970	Kaprijke
9982	Sint-Jan-In-Eremo
1020	Laeken
1080	Molenbeek-Saint-Jean
1082	Berchem-Sainte-Agathe
1083	Ganshoren
1120	Neder-Over-Heembeek
1320	Beauvechain
1320	Hamme-Mille
1325	Longueville
1340	Ottignies
1350	Enines
1350	Jauche
1350	Orp-Le-Grand
1360	Malèves-Sainte-Marie-Wastines
1367	Ramillies
1370	Jodoigne-Souveraine
1370	Piétrain
1380	Lasne-Chapelle-Saint-Lambert
1380	Maransart
1380	Ohain
1390	Bossut-Gottechain
1410	Waterloo
1420	Braine-L'alleud
1430	Rebecq
1440	Braine-Le-Château
1450	Cortil-Noirmont
1450	Gentinnes
1457	Walhain
1480	Saintes
1495	Sart-Dames-Avelines
1570	Tollembeek
1653	Dworp
1654	Huizingen
1671	Elingen
1703	Schepdaal
1750	Sint-Martens-Lennik
1755	Oetingen
1785	Merchtem
1831	Diegem
1840	Londerzeel
1851	Humbeek
1852	Beigem
1880	Ramsdonk
1980	Zemst
1982	Weerde
2040	Antwerpen
2050	Antwerpen
2060	Antwerpen
2070	Burcht
2070	Zwijndrecht
2110	Wijnegem
2160	Wommelgem
2243	Pulle
2250	Olen
2275	Lille
2288	Bouwel
2320	Hoogstraten
2370	Arendonk
2470	Retie
2480	Dessel
2491	Olmen
2540	Hove
2547	Lint
2550	Waarloos
2560	Kessel
2560	Nijlen
2630	Aartselaar
2640	Mortsel
2830	Heindonk
2850	Boom
2870	Liezele
2880	Bornem
2880	Mariekerke
2890	Oppuurs
2910	Essen
2980	Zoersel
3001	Heverlee
3040	Sint-Agatha-Rode
3070	Kortenberg
3080	Duisburg
3090	Overijse
3128	Baal
3130	Betekom
3150	Wespelaar
3220	Holsbeek
3221	Nieuwrode
3270	Scherpenheuvel
3290	Deurne
3293	Kaggevinne
3300	Sint-Margriete-Houtem
3350	Neerhespen
3350	Neerlinter
3350	Orsmaal-Gussenhoven
3350	Wommersom
3370	Neervelp
3370	Willebringen
3390	Tielt
3400	Laar
3400	Landen
3440	Budingen
3510	Spalbeek
3512	Stevoort
3550	Zolder
3620	Gellik
3630	Vucht
3631	Boorsem
3650	Dilsen-Stokkem
3650	Elen
3650	Lanklaar
3660	Opglabbeek
3668	Niel-Bij-As
3680	Neeroeteren
3700	Kolmont
3721	Vliermaalroot
3722	Wintershoven
3732	Schalkhoven
3770	Genoelselderen
3770	Herderen
3770	Vlijtingen
3770	Vroenhoven
3770	Zichen-Zussen-Bolder
3792	Fouron-Saint-Pierre
3800	Aalst
3800	Ordingen
3800	Sint-Truiden
3840	Groot-Loon
3840	Hoepertingen
3850	Binderveld
3870	Bovelingen
3870	Heks
3890	Boekhout
3890	Gingelom
3890	Montenaken
3890	Niel-Bij-Sint-Truiden
3891	Muizen
3920	Lommel
3930	Hamont-Achel
3950	Reppel
3960	Gerdingen
3960	Opitter
3960	Tongerlo
3971	Heppen
3990	Kleine-Brogel
4000	Rocourt
4020	Liège
4041	Milmort
4130	Esneux
4140	Sprimont
4160	Anthisnes
4163	Tavier
4180	Comblain-La-Tour
4180	Hamoir
4181	Filot
4190	Ferrières
4190	Werbomont
4210	Burdinne
4210	Lamontzée
4210	Oteppe
4263	Tourinne
4280	Bertrée
4280	Grand-Hallet
4280	Hannut
4300	Bovenistier
4300	Grand-Axhe
4300	Oleye
4357	Donceel
4360	Bergilers
4360	Grandville
4367	Odeur
4400	Awirs
4400	Chokier
4400	Flémalle
4400	Ivoz-Ramet
4420	Tilleur
4458	Fexhe-Slins
4520	Huccorgne
4530	Fize-Fontaine
4530	Vieux-Waleffe
4550	Nandrin
4557	Fraiture
4560	Clavier
4600	Lanaye
4601	Argenteau
4606	Saint-André
4608	Neufchâteau
4623	Magnée
4624	Romsée
4630	Micheroux
4650	Chaineux
4650	Julémont
4652	Xhendelesse
4653	Bolland
4671	Barchon
4681	Hermalle-Sous-Argenteau
4682	Houtain-Saint-Siméon
4683	Vivegnis
4690	Bassenge
4721	Neu-Moresnet
4760	Bullange
4770	Amblève
4780	Saint-Vith
4783	Lommersweiler
4800	Ensival
4800	Polleur
4800	Verviers
4860	Pepinster
4877	Olne
4890	Clermont
4920	Harzé
4920	Louveigné
4950	Sourbrodt
4970	Francorchamps
4987	La Gleize
4987	Rahier
5000	Namur
5004	Bouge
5030	Gembloux
5032	Bothey
5032	Corroy-Le-Château
5032	Isnes
5060	Moignelée
5070	Vitrival
5080	La Bruyère
5100	Naninne
5100	Wierde
5150	Floreffe
5150	Franière
5170	Lesve
5190	Ham-Sur-Sambre
5190	Spy
5300	Thon
5310	Boneffe
5310	Saint-Germain
5310	Waret-La-Chaussée
5353	Goesnes
5364	Schaltin
5370	Verlée
5380	Hingeon
5380	Noville-Les-Bois
5500	Bouvignes-Sur-Meuse
5500	Dinant
5500	Falmignoul
5500	Furfooz
5530	Mont
5540	Hastière
5542	Blaimont
5543	Heer
5544	Agimont
5550	Nafraiture
5555	Bellefontaine
5555	Graide
5560	Houyet
5562	Custinne
5563	Hour
5570	Dion
5570	Wancennes
5575	Louette-Saint-Pierre
5575	Malvoisin
5575	Patignies
5580	Buissonville
5590	Haversin
5590	Serinchamps
5600	Sart-En-Fagne
5600	Villers-Le-Gambon
5620	Flavion
5620	Morville
5621	Hanzinne
5621	Morialmé
5630	Silenrieux
5630	Villers-Deux-Eglises
5641	Furnaux
5650	Castillon
5650	Fraire
5650	Walcourt
5651	Berzée
5651	Rognée
5651	Somzée
5651	Thy-Le-Château
5660	Brûly
5660	Couvin
5660	Cul-Des-Sarts
5660	Frasnes
5660	Gonrieux
5660	Petigny
5670	Nismes
5680	Gimnée
5680	Niverlée
6000	Charleroi
6032	Mont-Sur-Marchienne
6043	Ransart
6120	Cour-Sur-Heure
6140	Fontaine-L'evêque
6181	Gouy-Lez-Piéton
6182	Souvret
6210	Rèves
6220	Fleurus
6222	Brye
6230	Obaix
6280	Acoz
6280	Loverval
6460	Robechies
6461	Virelles
6470	Grandrieu
6470	Sivry
6500	Barbençon
6500	Thirimont
6540	Lobbes
6567	Merbes-Sainte-Marie
6590	Momignies
6600	Wardin
6640	Hompré
6660	Houffalize
6672	Beho
6673	Cherain
6674	Montleban
6721	Anlier
6750	Signeulx
6760	Bleid
6760	Ethe
6767	Harnoncourt
6767	Lamorteau
6769	Robelmont
6792	Halanzy
6800	Remagne
6820	Florenville
6820	Fontenoille
6820	Muno
6830	Bouillon
6830	Rochehaut
6833	Vivy
6850	Paliseul
6860	Assenois
6860	Ebly
6870	Mirwart
6870	Vesqueville
6890	Anloy
6890	Transinne
6940	Durbuy
6940	Wéris
6941	Bomal-Sur-Ourthe
6941	Izier
6953	Ambly
6983	Ortho
6990	Hampteau
6990	Hotton
6997	Erezée
7021	Havre
7022	Nouvelles
7024	Ciply
7034	Obourg
7040	Blaregnies
7040	Bougnies
7040	Genly
7040	Quévy
7050	Masnuy-Saint-Jean
7061	Casteau
7063	Neufvilles
7070	Gottignies
7070	Ville-Sur-Haine
7090	Braine-Le-Comte
7090	Henripont
7110	Houdeng-Goegnies
7120	Estinnes-Au-Val
7120	Haulchin
7180	Seneffe
7181	Arquennes
7181	Familleureux
7301	Hornu
7330	Saint-Ghislain
7340	Warquignies
7350	Montroeul-Sur-Haine
7350	Thulin
7370	Wihéries
7380	Quiévrain
7382	Audregnies
7387	Erquennes
7387	Honnelles
7501	Orcq
7522	Marquain
7530	Gaurain-Ramecroix
7536	Vaulx
7540	Kain
7600	Péruwelz
7601	Roucourt
7602	Bury
7620	Brunehaut
7640	Maubray
7711	Dottignies
7712	Herseaux
7730	Néchin
7740	Pecq
7750	Mont-De-L'enclus
7750	Orroir
7760	Velaines
7780	Comines-Warneton
7784	Bas-Warneton
7802	Ormeignies
7812	Ligne
7822	Isières
7830	Bassilly
7830	Silly
7850	Enghien
7900	Grandmetz
7901	Thieulain
7910	Anvaing
7911	Moustier
7940	Cambron-Casteau
7941	Attre
7950	Huissignies
7973	Stambruges
8020	Ruddervoorde
8301	Ramskapelle
8380	Lissewege
8380	Zeebrugge
8421	Vlissegem
8433	Mannekensvere
8470	Snaaskerke
8470	Zevekote
8480	Bekegem
8480	Eernegem
8560	Gullegem
8570	Gijzelbrechtegem
8570	Ingooigem
8581	Waarmaarde
8600	Beerst
8600	Diksmuide
8600	Driekapellen
8600	Esen
8600	Keiem
8600	Lampernisse
8600	Nieuwkapelle
8610	Kortemark
8610	Zarren
8620	Nieuwpoort
8630	Vinkem
8640	Oostvleteren
8640	Westvleteren
8690	Alveringem
8691	Leisele
8730	Beernem
8730	Oedelem
8750	Wingene
8750	Zwevezele
8792	Desselgem
8800	Rumbeke
8830	Gits
8870	Izegem
8900	Ieper
8904	Boezinge
8904	Zuidschote
8920	Langemark-Poelkapelle
8930	Lauwe
8950	Nieuwkerke
8953	Wijtschate
8958	Loker
8980	Geluveld
9041	Oostakker
9042	Mendonk
9070	Heusden
9100	Sint-Niklaas
9120	Vrasene
9130	Doel
9140	Elversele
9170	Meerdonk
9170	Sint-Pauwels
9180	Moerbeke-Waas
9200	Appels
9200	Oudegem
9240	Zele
9250	Waasmunster
9255	Buggenhout
9260	Schellebelle
9280	Lebbeke
9290	Uitbergen
9340	Impe
9400	Nederhasselt
9420	Erondegem
9451	Kerksken
9470	Denderleeuw
9473	Welle
9500	Goeferdinge
9500	Ophasselt
9500	Viane
9506	Smeerebbe-Vloerzegem
9520	Vlierzele
9620	Strijpen
9620	Velzeke-Ruddershove
9630	Roborst
9630	Sint-Blasius-Boekel
9630	Sint-Maria-Latem
9660	Everbeek
9660	Opbrakel
9661	Parike
9690	Kwaremont
9690	Zulzeke
9700	Ooike
9700	Volkegem
9750	Ouwegem
9771	Nokere
9790	Elsegem
9800	Astene
9800	Sint-Martens-Leerne
9800	Vinkt
9810	Nazareth
9820	Lemberge
9820	Merelbeke
9820	Schelderode
9850	Hansbeke
9850	Nevele
9850	Vosselare
9890	Baaigem
9910	Knesselare
9940	Kluizen
9950	Waarschoot
9988	Waterland-Oudeman
9991	Adegem
9992	Middelburg
1040	Etterbeek
1060	Saint-Gilles
1081	Koekelberg
1130	Haren
1140	Evere
1190	Forest
1320	Nodebais
1325	Dion-Valmont
1330	Rixensart
1332	Genval
1341	Céroux-Mousty
1342	Limelette
1350	Marilles
1357	Hélécine
1357	Linsmeau
1367	Grand-Rosière-Hottomont
1370	Mélin
1370	Saint-Remy-Geest
1380	Couture-Saint-Germain
1380	Plancenoit
1390	Nethen
1404	Bornival
1470	Genappe
1472	Vieux-Genappe
1541	Sint-Pieters-Kapelle
1570	Galmaarden
1673	Beert
1700	Dilbeek
1700	Sint-Martens-Bodegem
1745	Opwijk
1755	Leerbeek
1760	Onze-Lieve-Vrouw-Lombeek
1761	Borchtlombeek
1820	Melsbroek
1820	Steenokkerzeel
1830	Machelen
1840	Steenhuffel
1850	Grimbergen
1861	Wolvertem
1910	Kampenhout
1933	Sterrebeek
1982	Elewijt
2140	Borgerhout
2221	Booischot
2222	Itegem
2230	Herselt
2235	Hulshout
2242	Pulderbos
2260	Tongerlo
2270	Herenthout
2275	Poederlee
2321	Meer
2328	Meerle
2390	Malle
2390	Oostmalle
2390	Westmalle
2450	Meerhout
2520	Emblem
2520	Ranst
2530	Boechout
2531	Vremde
2580	Beerzel
2580	Putte
2590	Gestel
2600	Berchem
2627	Schelle
2820	Bonheiden
2830	Blaasveld
2840	Rumst
2840	Terhagen
2860	Sint-Katelijne-Waver
2861	Onze-Lieve-Vrouw-Waver
2880	Hingene
2890	Sint-Amands
2900	Schoten
3012	Wilsele
3018	Wijgmaal
3020	Winksele
3040	Neerijse
3040	Ottenburg
3054	Vaalbeek
3078	Everberg
3130	Begijnendijk
3190	Boortmeerbeek
3200	Gelrode
3201	Langdorp
3271	Zichem
3294	Molenstede
3350	Linter
3360	Korbeek-Lo
3360	Opvelp
3370	Boutersem
3370	Kerkom
3400	Ezemaal
3400	Neerwinden
3470	Ransberg
3500	Hasselt
3510	Kermt
3540	Donk
3582	Koersel
3600	Genk
3620	Lanaken
3621	Rekem
3640	Ophoven
3650	Stokkem
3670	Ellikom
3670	Wijshagen
3680	Maaseik
3690	Zutendaal
3700	Haren
3700	Henis
3700	Koninksem
3700	Lauw
3700	Mal
3700	Nerem
3700	Piringen
3700	Riksingen
3700	Sluizen
3720	Kortessem
3730	Sint-Huibrechts-Hern
3740	Beverst
3740	Bilzen
3740	Hees
3740	Kleine-Spouwen
3740	Waltwilder
3770	Millen
3770	Val-Meer
3790	Fouron-Saint-Martin
3790	Mouland
3791	Remersdaal
3800	Engelmanshoven
3800	Gelinden
3803	Gorsem
3803	Runkelen
3840	Broekom
3840	Gors-Opleeuw
3840	Gotem
3840	Hendrieken
3840	Kuttekoven
3870	Heers
3870	Klein-Gelmen
3870	Veulen
3890	Jeuk
3930	Hamont
3940	Hechtel
3945	Oostham
3950	Bocholt
3950	Kaulille
4032	Chênee
4042	Liers
4052	Beaufays
4100	Boncelles
4100	Seraing
4101	Jemeppe-Sur-Meuse
4120	Neupré
4161	Villers-Aux-Tours
4162	Hody
4171	Poulseur
4180	Comblain-Fairon
4257	Corswarem
4260	Ciplet
4261	Latinne
4280	Abolens
4280	Avernas-Le-Bauduin
4280	Lens-Saint-Remy
4280	Merdorp
4280	Poucet
4287	Racour
4340	Fooz
4340	Othée
4347	Roloux
4347	Voroux-Goreux
4350	Lamine
4350	Momalle
4350	Remicourt
4357	Haneffe
4367	Fize-Le-Marsal
4400	Flémalle-Haute
4420	Saint-Nicolas
4432	Alleur
4450	Lantin
4450	Slins
4460	Grâce-Hollogne
4460	Horion-Hozémont
4520	Antheit
4537	Verlaine
4540	Ampsin
4540	Flône
4550	Villers-Le-Temple
4550	Yernée-Fraineux
4557	Seny
4577	Vierset-Barse
4600	Visé
4602	Cheratte
4607	Berneau
4607	Dalhem
4621	Retinne
4633	Melen
4651	Battice
4690	Boirs
4690	Wonck
4700	Eupen
4710	Lontzen
4711	Walhorn
4730	Raeren
4731	Eynatten
4750	Butgenbach
4760	Manderfeld
4770	Meyerode
4780	Recht
4782	Schoenberg
4821	Andrimont
4851	Gemmenich
4860	Wegnez
4861	Soiron
4870	Nessonvaux
4910	La Reid
4910	Polleur
4960	Bevercé
4980	Wanne
4983	Basse-Bodeux
5030	Lonzée
5060	Falisolle
5060	Keumiée
5070	Aisemont
5070	Le Roux
5080	Emines
5080	Rhisnes
5081	Bovesse
5100	Jambes
5101	Lives-Sur-Meuse
5140	Ligny
5170	Arbre
5190	Moustier-Sur-Sambre
5300	Maizeret
5300	Namêche
5300	Seilles
5300	Vezin
5310	Dhuy
5310	Liernu
5310	Mehaigne
5330	Assesse
5330	Maillen
5340	Gesves
5340	Haltinne
5350	Ohey
5360	Hamois
5361	Mohiville
5370	Havelange
5370	Jeneffe
5376	Miécret
5377	Baillonville
5377	Somme-Leuze
5377	Waillet
5380	Cortil-Wodon
5380	Franc-Waret
5380	Hemptinne
5380	Pontillas
5503	Sorinnes
5522	Falaen
5530	Spontin
5537	Annevoie-Rouillon
5537	Bioul
5537	Sosoye
5540	Hastière-Lavaux
5540	Waulsort
5550	Bagimont
5550	Membre
5550	Orchimont
5555	Baillamont
5555	Bièvre
5555	Cornimont
5560	Ciergnon
5560	Finnevaux
5560	Hulsonniaux
5560	Mesnil-Saint-Blaise
5564	Wanlin
5570	Honnay
5570	Javingue
5573	Martouzin-Neuville
5575	Sart-Custinne
5575	Vencimont
5576	Froidfontaine
5580	Villers-Sur-Lesse
5590	Achêne
5590	Leignon
5600	Franchimont
5600	Merlemont
5600	Roly
5600	Samart
5600	Surice
5630	Daussois
5640	Biesme
5651	Gourdinne
5670	Vierves-Sur-Viroin
5670	Viroinval
5680	Doische
5680	Matagne-La-Petite
5680	Romerée
5680	Vaucelles
6031	Monceau-Sur-Sambre
6120	Marbaix
6120	Nalinnes
6150	Anderlues
6183	Trazegnies
6210	Les Bons Villers
6210	Villers-Perwin
6211	Mellet
6221	Saint-Amand
6230	Buzet
6230	Pont-À-Celles
6238	Liberchies
6240	Farciennes
6250	Aiseau
6440	Boussu-Lez-Walcourt
6440	Fourbechies
6440	Froidchapelle
6460	Salles
6462	Vaulx-Lez-Chimay
6464	L'escaillère
6470	Montbliart
6470	Sautin
6500	Beaumont
6532	Ragnies
6536	Thuillies
6542	Sars-La-Buissière
6567	Labuissière
6567	Merbes-Le-Château
6596	Forge-Philippe
6596	Seloignes
6600	Longvilly
6600	Villers-La-Bonne-Eau
6640	Morhet
6660	Nadrin
6687	Bertogne
6692	Petit-Thier
6698	Grand-Halleux
6700	Arlon
6700	Bonnert
6706	Autelbas
6717	Tontelange
6724	Rulles
6730	Rossignol
6730	Tintigny
6742	Chantemelle
6750	Musson
6750	Mussy-La-Ville
6760	Ruette
6760	Virton
6780	Hondelange
6780	Messancy
6800	Bras
6800	Moircy
6800	Recogne
6810	Izel
6820	Sainte-Cécile
6831	Noirfontaine
6840	Neufchâteau
6856	Fays-Les-Veneurs
6860	Witry
6870	Saint-Hubert
6880	Auby-Sur-Semois
6890	Redu
6900	On
6900	Waha
6927	Resteigne
6929	Porcheresse
6941	Bende
6941	Tohogne
6941	Villers-Sainte-Gertrude
6953	Forrières
6960	Dochamps
6986	Halleux
7020	Nimy
7022	Harmignies
7032	Spiennes
