Catégorie;Dénomination;Adresse;Code postal;Localité;Téléphone;Courriel;Site web;Statut juridique;Province;Catégorie de reconnaissance
Musée;Musée En Piconrue;Place en Piconrue 2;6600.0;Bastogne;061 55 00 55;info@piconrue.be;http://www.piconrue.be;asbl;Luxembourg;B
Musée;Musée Gaspar;Rue des Martyrs 16;6700.0;Arlon;063 60 06 54;musee.gaspar@arlon.be;http://www.museegaspar.be;service public local;Luxembourg;C
Musée;Musée royal de Mariemont;Chaussée de Mariemont 100;7140.0;Morlanwelz;064 27 37 84;mediation@mariemont.be;http://www.musee-mariemont.be/;service public;Hainaut;subvention
Centre;TaMat Centre de la Tapisserie des Arts du Tissu et des Arts Muraux;Place Reine Astrid 9;7500.0;Tournai;069 23 42 85;info@tamat.be;http://www.tamat.be;asbl;Hainaut;subvention
Musée;Musée de Folklore et des Imaginaires;Réduit des Sions 36;7500.0;Tournai;069 22 40 69;musee.folklore@tournai.be;http://www.tournai.be/decouvrir-tournai/musees/musee-de-folklore-la-maison-tournaisienne.html;asbl;Hainaut;Mise en conformité
Musée;Musée d'Histoire Naturelle et Vivarium;Cour d'Honneur de l'Hôtel de Ville - Rue de l'enclos Saint-Martin 52;7500.0;Tournai;069 33 23 43;musse.histoire.naturelle@tournai.be;http://www.mhn.tournai.be;service public local;Hainaut;B
Musée;Espace Gallo-Romain;Rue de Nazareth 2;7800.0;Ath;068 68 13 20;egr@ath.be;http://https://www.ath.be/loisirs/culture/musees/espace-gallo-romain;service public local;Hainaut;B
Musée;Musée Art & Marges;Rue Haute 312-314;1000.0;Bruxelles;02 533 94 90;info@artetmarges.be;http://www.artetmarges.be;asbl;Bruxelles-Capitale;B
Musée;Musée d'Art Spontanés et naîfs;Rue de la Constitution 27;1030.0;Schaerbeek;02 426 84 04;info@musee-art-spontane.be;http://www.musee-art-spontane.be;asbl;Bruxelles-Capitale;Institution muséale
Musée;Musée de la Vie Wallonne;Rue des Mineurs 2;4000.0;Liège;04 279 20 31;info@viewallonne.be;http://www.provincedeliege.be/fr/viewallonne;entité publique;Liège;A
Musée;Trinkhall Museum;Parc d’Avroy 1;4000.0;Liège;04 222 32 95;info@trinkhall.museum;https://trinkhall.museum/;entité locale;Liège;B
Musée;Musée du Château-Fort de Logne Les Amis de Logne;Domaine de Palogne rue de la Bouverie 1;4190.0;Vieuxville;086 21 20 33;infos@palogne.be;http://www.chateau-logne.be;asbl;Liège;C
Musée;Musée régional d’Histoire et d’Archéologie;Rue du Collège 31;4600.0;Visé;04 374 85 63;info@museedevise.be;http://www.museedevise.be;asbl;Liège;Mise en conformité C
Musée;Musée Africain de Namur;Rue du 1er Lanciers 1;5000.0;Namur;081 23 13 83;www.musafrica.net/contact/;http://www.musafrica.net;asbl;Namur;Mise en conformité
Musée;Musée de la Céramique d'Andenne;Rue Charles Lapierre 29;5300.0;Andenne;085 84 41 81;musee@ceramandenne.be;http://www.ceramandenne.be;asbl;Namur;B
Musée;Musée Scladina Archéologie Andennaise;Rue Fond des Vaux 339D;5300.0;Andenne;081 58 29 58;grotte@scladina.be;http://www.scladina.be;asbl;Namur;B
Musée;Musée du Marbre;Grand Rue 22;6470.0;Rance;060 41 20 48;musee.marbre@skynet.be;http://www.museedumarbre.com;asbl;Hainaut;C
Musée;Maison de l'Imprimerie et des Lettres de Wallonie;Rue Verte 1B;6530.0;Thuin;071 59 59 70;maisonimprimerie@gmail.com;http://www.maison-imprimerie.net;asbl;Hainaut;C
Pôle;Pôle Muséal de Mons;Hôtel de Ville;7000.0;Mons;065 40 53 25;polemuseal@ville.mons.be;http://www.polemuseal.mons.be/fr;blabla;Hainaut;A
